,Bermuda Petrel,Pterodroma cahow,3,
,Black-capped Petrel,Pterodroma hasitata,2,
,Hawaiian Petrel,Pterodroma sandwichensis,3,
,Fea's Petrel,Pterodroma feae,3,
,Zino’s Petrel,Pterodroma madeira,5,
,Cook's Petrel,Pterodroma cookii,3,
,Stejneger's Petrel,Pterodroma longirostris,4,
,Bulwer's Petrel,Bulweria bulwerii,5,
,White-chinned Petrel,Procellaria aequinoctialis,5,
,Parkinson's Petrel,Procellaria parkinsoni,5,
,Streaked Shearwater,Calonectris leucomelas,4,
,Cory's Shearwater,Calonectris diomedea,1,
,Cape Verde Shearwater,Calonectris edwardsii,5,
,Pink-footed Shearwater,Puffinus creatopus,1,
,Flesh-footed Shearwater,Puffinus carneipes,3,
,Great Shearwater,Puffinus gravis,1,
,Wedge-tailed Shearwater,Puffinus pacificus,4,
,Buller's Shearwater,Puffinus bulleri,2,
,Sooty Shearwater,Puffinus griseus,1,
,Short-tailed Shearwater,Puffinus tenuirostris,2,
,Manx Shearwater,Puffinus puffinus,2,
,Townsend's Shearwater,Puffinus auricularis,5,
,Black-vented Shearwater,Puffinus opisthomelas,2,
,Audubon's Shearwater,Puffinus lherminieri,1,
,Barolo Shearwater,Puffinus assimilis,5,
Storm-Petrels (Hydrobatidae),Wilson's Storm-Petrel,Oceanites oceanicus,1,
,White-faced Storm-Petrel,Pelagodroma marina,3,
,European Storm-Petrel,Hydrobates pelagicus,4,
,Black-bellied Storm-Petrel,Fregetta tropica,5,
,Fork-tailed Storm-Petrel,Oceanodroma furcata,2,
,Ringed Storm-Petrel,Oceanodroma hornbyi,5,
,Swinhoe's Storm-Petrel,Oceanodroma monorhis,5,
,Leach's Storm-Petrel,Oceanodroma leucorhoa,1,
,Ashy Storm-Petrel,Oceanodroma homochroa,2,
,Band-rumped Storm-Petrel,Oceanodroma castro,2,
,Wedge-rumped Storm-Petrel,Oceanodroma tethys,4,
,Black Storm-Petrel,Oceanodroma melania,2,
,Tristram's Storm-Petrel,Oceanodroma tristrami,5,
,Least Storm-Petrel,Oceanodroma microsoma,3,
Tropicbirds (Phaethontidae),White-tailed Tropicbird,Phaethon lepturus,3,
,Red-billed Tropicbird,Phaethon aethereus,3,
,Red-tailed Tropicbird,Phaethon rubricauda,4,
Storks (Ciconiidae),Jabiru,Jabiru mycteria,4,
,Wood Stork,Mycteria americana,1,
Frigatebirds (Fregatidae),Magnificent Frigatebird,Fregata magnificens,1,
,Great Frigatebird,Fregata minor,5,
,Lesser Frigatebird,Fregata ariel,5,
Boobies and Gannets (Sulidae),Masked Booby,Sula dactylatra,3,
,Blue-footed Booby,Sula nebouxii,4,
,Brown Booby,Sula leucogaster,3,
,Red-footed Booby,Sula sula,4,
,Northern Gannet,Morus bassanus,1,
Cormorants (Phalacrocoracidae),Brandt's Cormorant,Phalacrocorax penicillatus,1,
,Neotropic Cormorant,Phalacrocorax brasilianus,1,
,Double-crested Cormorant,Phalacrocorax auritus,1,
,Great Cormorant,Phalacrocorax carbo,1,
,Red-faced Cormorant,Phalacrocorax urile,2,
,Pelagic Cormorant,Phalacrocorax pelagicus,1,
Darters (Anhingidae),Anhinga,Anhinga anhinga,1,
Pelicans (Pelecanidae),American White Pelican,Pelecanus erythrorhynchos,1,
,Brown Pelican,Pelecanus occidentalis,1,
"Bitterns, Herons, and Allies (Ardeidae)",American Bittern,Botaurus lentiginosus,1,
,Yellow Bittern,Ixobrychus sinensis,5,
,Least Bittern,Ixobrychus exilis,1,
,Bare-throated Tiger-Heron,Tigrisoma mexicanum,5,
,Great Blue Heron,Ardea herodias,1,
,Gray Heron,Ardea cinerea,5,
,Great Egret,Ardea alba,1,
,Intermediate Egret,Mesophoyx intermedia,5,
,Chinese Egret,Egretta eulophotes,5,
,Little Egret,Egretta garzetta,4,
,Western Reef-Heron,Egretta gularis,5,
,Snowy Egret,Egretta thula,1,
,Little Blue Heron,Egretta caerulea,1,
,Tricolored Heron,Egretta tricolor,1,
,Reddish Egret,Egretta rufescens,1,
,Cattle Egret,Bubulcus ibis,1,
,Chinese Pond-Heron,Ardeola bacchus,5,
,Green Heron,Butorides virescens,1,
,Black-crowned Night-Heron,Nycticorax nycticorax,1,
,Yellow-crowned Night-Heron,Nyctanassa violacea,1,
Ibises and Spoonbills (Threskiornithidae),White Ibis,Eudocimus albus,1,
,Scarlet Ibis,Eudocimus ruber,5,
,Glossy Ibis,Plegadis falcinellus,1,
